1 508591466 508625000
2 506895262 508591466
3 506629566 506895262
4 496554462 506629566
5 495463526 496554462
6 495051536 495463526
7 487469080 495051536
8 481237270 487469080
9 480762570 481237270
10 473875350 480762570
11 472498698 473875350
12 472311498 472498698
13 469364148 472311498
14 464467978 469364148
15 456412328 464467978
16 455700828 456412328
17 455684298 455700828
18 452426418 455684298
19 444980854 452426418
20 444668938 444980854
21 441452448 444668938
22 437548992 441452448
23 437495652 437548992
24 423498346 437495652
25 415476408 423498346
26 414825048 415476408
27 402839980 414825048
28 398929788 402839980
30 398406588 398929788
31 396780540 398406588
32 396496348 396780540
33 396483532 396496348
35 395783798 396483532
37 385140410 395783798
38 385112074 385140410
39 384501654 385112074
40 381680730 384501654
41 380888218 381680730
42 380308618 380888218
43 375587346 380308618
44 367960546 375587346
45 361029806 367960546
47 360518182 361029806
48 359912138 360518182
49 355064420 359912138
50 349362620 355064420
51 336991760 349362620
53 333489352 336991760
55 324206932 333489352
56 322676553 324206932
57 320143345 322676553
58 319012495 320143345
59 318110953 319012495
60 317935993 318110953
61 317769421 317935993
62 317135981 317769421
64 316785821 317135981
65 311951893 316785821
66 309876629 311951893
67 309838573 309876629
68 307384081 309838573
69 306363677 307384081
70 305426797 306363677
71 305095764 305426797
73 302406452 305095764
76 297556948 302406452
77 293040604 297556948
78 292048396 293040604
79 289743184 292048396
80 288681948 289743184
83 288327112 288681948
84 281436928 288327112
85 281279554 281436928
86 280886854 281279554
87 279207478 280886854
90 278215808 279207478
93 277262258 278215808
94 277236218 277262258
95 274354282 277236218
97 273744862 274354282
98 273209862 273744862
99 272932678 273209862
101 272862672 272932678
102 272839740 272862672
103 266265788 272839740
104 258073968 266265788
105 258006092 258073968
107 256943602 258006092
108 255888394 256943602
110 255819598 255888394
111 251662214 255819598
113 250944959 251662214
114 249972275 250944959
115 249936371 249972275
116 248162355 249936371
117 247768003 248162355
118 247645891 247768003
119 246900611 247645891
121 242840275 246900611
122 242657950 242840275
123 240712578 242657950
124 239496958 240712578
125 237320478 239496958
126 234923142 237320478
129 234768260 234923142
130 233908170 234768260
131 231543444 233908170
132 229774424 231543444
133 227619674 229774424
134 226806170 227619674
135 225408566 226806170
136 225238214 225408566
137 224687222 225238214
138 223451494 224687222
139 222262328 223451494
141 221887192 222262328
143 214821660 221887192
145 214676006 214821660
146 214397126 214676006
147 209747780 214397126
148 209563760 209747780
154 209391224 209563760
155 208997012 209391224
156 208940922 208997012
157 205533034 208940922
159 205184734 205533034
160 204083490 205184734
161 200131262 204083490
162 197287950 200131262
163 197128551 197287950
164 196705513 197128551
165 195511593 196705513
167 193841775 195511593
168 188311620 193841775
170 188124132 188311620
171 184991520 188124132
172 184937276 184991520
173 180977711 184937276
174 180895951 180977711
175 180505039 180895951
176 180469135 180505039
177 180134335 180469135
179 177252895 180134335
180 175131835 177252895
181 174759047 175131835
182 174743798 174759047
183 173462714 174743798
184 173382710 173462714
185 170767922 173382710
186 169799045 170767922
187 167926641 169799045
188 167913081 167926641
190 167882973 167913081
198 166473693 167882973
199 165566029 166473693
200 165322989 165566029
202 165288405 165322989
203 161857285 165288405
205 159795533 161857285
206 159765293 159795533
207 159612941 159765293
208 159103861 159612941
210 158981845 159103861
211 158886595 158981845
214 155865661 158886595
215 155332293 155865661
216 153915955 155332293
217 150954103 153915955
219 150453583 150954103
222 150279775 150453583
223 147111235 150279775
224 147101027 147111235
225 145092083 147101027
226 140924739 145092083
227 136982195 140924739
228 136953005 136982195
229 135891725 136953005
232 135840509 135891725
233 135333149 135840509
235 134555841 135333149
236 133752473 134555841
238 133240049 133752473
239 132362606 133240049
240 132277070 132362606
241 128278070 132277070
242 128206830 128278070
243 127875090 128206830
246 127700850 127875090
247 127535830 127700850
249 126981627 127535830
252 125854557 126981627
254 125655021 125854557
255 125551791 125655021
259 124297359 125551791
260 124009641 124297359
263 120623385 124009641
264 119973645 120623385
266 116763860 119973645
268 114446692 116763860
271 114299044 114446692
273 106248484 114299044
274 105464041 106248484
275 103741030 105464041
277 103037110 103741030
279 99705120 103037110
281 99352832 99705120
282 99355885 99352832
283 97179049 99352832
284 97077829 97179049
289 96112696 97077829
291 95677800 96112696
292 95313565 95677800
293 95243505 95313565
295 95170457 95243505
296 92197889 95170457
298 91601741 92197889
300 91290629 91601741
301 90542231 91290629
